Will not train the discriminator...
Alpha: 5e-07
Beta: 0.02
Momentum: 0.9
Epochs: 100
Every: 10
Batch: 1
Inputs: assets/res/Arles
	assets/res/Paris
Seed Size: 100
Starting Epoch: 1001
Epoch 1068, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:23.39
Epoch 1069, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:22.62
Epoch 1070, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:23.93
Epoch 1071, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:23.35
Epoch 1072, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:22.18
Epoch 1073, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:22.56
Epoch 1074, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:23.78
Epoch 1075, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:23.23
Epoch 1076, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:24.75
Epoch 1077, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:24.49
Epoch 1078, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:23.71
Epoch 1079, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:22.78
Epoch 1080, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:24.87
Epoch 1081, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:24.29
Epoch 1082, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:22.65
Epoch 1083, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:23.44
Epoch 1084, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:24.46
Epoch 1085, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:22.91
Epoch 1086, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:22.46
Epoch 1087, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:23.13
Epoch 1088, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:23.00
Epoch 1089, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:22.89
Epoch 1090, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:23.15
Epoch 1091, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:24.44
Epoch 1092, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:23.71
Epoch 1093, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:23.31
Epoch 1094, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:23.68
Epoch 1095, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:23.61
Epoch 1096, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:22.04
Epoch 1097, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:22.54
Epoch 1098, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:23.84
Epoch 1099, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:24.03
Epoch 1100, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:21.70
