Will train the discriminator...
Alpha: 5e-07
Beta: 0.02
Momentum: 0.9
Epochs: 100
Every: 10
Batch: 1
Inputs: assets/res/Arles
	assets/res/Paris
Seed Size: 100
Starting Epoch: 1301
Epoch 1368, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.90
Epoch 1369, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.98
Epoch 1370, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:25.05
Epoch 1371, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:25.03
Epoch 1372, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:25.39
Epoch 1373, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:25.18
Epoch 1374, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.21
Epoch 1375, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.85
Epoch 1376, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.85
Epoch 1377, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.11
Epoch 1378, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.28
Epoch 1379, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:30.79
Epoch 1380, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.61
Epoch 1381, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.53
Epoch 1382, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.47
Epoch 1383, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.42
Epoch 1384, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.94
Epoch 1385, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.46
Epoch 1386, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.96
Epoch 1387, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.66
Epoch 1388, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.18
Epoch 1389, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.41
Epoch 1390, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.13
Epoch 1391, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.11
Epoch 1392, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:30.00
Epoch 1393, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.87
Epoch 1394, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.70
Epoch 1395, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.50
Epoch 1396, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.49
Epoch 1397, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.41
Epoch 1398, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.89
Epoch 1399, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.97
Epoch 1400, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.18

Training time: 0:41:13.52
