Will train the discriminator...
Alpha: 5e-07
Beta: 0.02
Momentum: 0.9
Epochs: 100
Every: 10
Batch: 1
Inputs: assets/res/Arles
	assets/res/Paris
Seed Size: 100
Starting Epoch: 1401
Epoch 1401, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:33.46
Epoch 1402, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:28.46
Epoch 1403, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:20.90
Epoch 1404, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:17.87
Epoch 1405, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:19.33
Epoch 1406, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:21.25
Epoch 1407, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:17.65
Epoch 1408, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:17.71
Epoch 1409, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:19.60
Epoch 1410, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:22.21
Epoch 1411, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:18.96
Epoch 1412, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:19.70
Epoch 1413, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:21.98
Epoch 1414, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:27.21
Epoch 1415, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:22.05
Epoch 1416, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:23.85
Epoch 1417, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:22.25
Epoch 1418, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:23.97
Epoch 1419, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:23.16
Epoch 1420, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:22.48
Epoch 1421, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:23.60
Epoch 1422, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:23.01
Epoch 1423, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:20.90
Epoch 1424, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:21.84
Epoch 1425, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:21.34
Epoch 1426, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:22.59
Epoch 1427, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:20.45
Epoch 1428, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:21.24
