Will train the discriminator...
Alpha: 5e-07
Beta: 0.02
Momentum: 0.9
Epochs: 100
Every: 10
Batch: 1
Inputs: assets/res/Arles
	assets/res/Paris
Seed Size: 100
Starting Epoch: 1101
Epoch 1101, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:31.52
Epoch 1102, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:17.95
Epoch 1103, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:17.68
Epoch 1104, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:17.95
Epoch 1105, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:21.72
Epoch 1106, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:19.51
Epoch 1107, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:19.27
Epoch 1108, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:19.63
Epoch 1109, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:21.23
Epoch 1110, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:19.32
Epoch 1111, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:19.02
Epoch 1112, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:19.43
Epoch 1113, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:21.31
Epoch 1114, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:19.12
Epoch 1115, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:19.12
Epoch 1116, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:19.09
Epoch 1117, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:21.46
Epoch 1118, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:19.12
Epoch 1119, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:18.87
Epoch 1120, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:19.25
Epoch 1121, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:21.65
Epoch 1122, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:19.47
Epoch 1123, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:19.45
Epoch 1124, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:20.08
Epoch 1125, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:20.17
Epoch 1126, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:19.14
Epoch 1127, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:19.18
Epoch 1128, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:19.95
Epoch 1129, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:20.98
Epoch 1130, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:19.28
Epoch 1131, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:19.07
Epoch 1132, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:19.70
Epoch 1133, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:20.45
Epoch 1134, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:16.04
Epoch 1135, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:16.41
Epoch 1136, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:17.55
Epoch 1137, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:19.47
Epoch 1138, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:16.81
Epoch 1139, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:16.75
Epoch 1140, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:17.89
Epoch 1141, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:17.67
Epoch 1142, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:17.03
Epoch 1143, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:16.64
Epoch 1144, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:17.51
Epoch 1145, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:17.02
Epoch 1146, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:18.25
Epoch 1147, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:16.44
